Type,Latitude,Longitude
Facility,47.63748295592806,-122.29414115721907
Facility,47.680683821804124,-122.33768956662826
Facility,47.57594965147065,-122.36750842472557
Facility,47.692813275744406,-122.34641075345203
Facility,47.56447486232929,-122.31356134956964
Customer,47.72127810005227,-122.30847974559322
Customer,47.52045125181039,-122.37889827913406
Customer,47.544398864450145,-122.3241414316744
Customer,47.62295879778967,-122.3407707912375
Customer,47.568128690187464,-122.33190715131381
Customer,47.62582308808087,-122.38199097158359
Customer,47.60202391987155,-122.33326229945462
Customer,47.62721949569018,-122.29755265822016
Customer,47.63540171073627,-122.32472061421238
Customer,47.55963659353706,-122.33758106426934
Customer,47.67866663042553,-122.2889469754408
Customer,47.594642098140866,-122.33989622314553
