Type,Latitude,Longitude
Facility,47.60927738155884,-122.34650609620154
Facility,47.61407001286534,-122.32490401324789
Facility,47.64273155828225,-122.2847056161218
Facility,47.540428614442746,-122.29919636870319
Facility,47.67891406176505,-122.29309351850974
Facility,47.58521446136058,-122.40787126403096
Customer,47.521490254806295,-122.34969268103272
Customer,47.52256021422172,-122.32040874256039
Customer,47.64915945542025,-122.28919671203153
Customer,47.5802370755148,-122.36434596455325
Customer,47.58087580500426,-122.36591639597563
Customer,47.52491193300091,-122.36612749839891
Customer,47.52028312989843,-122.3240297894037
Customer,47.57905446927302,-122.38237602358997
Customer,47.727331068346274,-122.31464550697919
Customer,47.60867179694409,-122.33236690479146
Customer,47.529719155497325,-122.30825578491884
Customer,47.591822283847556,-122.33104739979555
Customer,47.62855738450663,-122.32476593738753
Customer,47.64484077049408,-122.3596409944129
Customer,47.681845255052565,-122.32770006299856
